Food	Variety	Preorpost	Portion_Amount	Unit	Added_Sugars	Calories
Sour cream	dip	post	a quarter	cup	1.6	134
Ice cream	regular	pre	one	cup	95.2	267
ice milk	"Low fat, low sugar "	pre	one	cup	74.0	153
Cheese	cheddar or Swiss	pre	a quarter	cup shredded	0.0	114
"Cottage cheese, "	creamed	pre	half	cup	0.0	108
Ricotta cheese	regular	pre	a quarter	cup	0.0	96
Cream cheese 	regular	pre	one	Tablespoon	0.0	51
Slice cheese 	American	pre	one	slice 	0.0	71
Cheese spread 	none	none	four	Tablespoons	7.3	177
Cheese sauce	none	none	a quarter	cup	0.0	109
Alfredo sauce	none	none	a quarter	cup	0.0	249
cheese sticks	fried	pre	three	pieces or 4 inch 	4.4	503
beef steak 	grilled	post	four	"ounces cooked, boneless"	0.0	233
steak	grilled	post	four	"ounces cooked, boneless"	0.0	233
Roast beef 	cooked	post	four	ounces	0.0	302
Beef brisket	cooked	pre	four	ounces	0.0	212
Pudding	regular instant or canned	pre	half	cup 	57.8	133
Grilled cheese 	sandwich	post	one	regular	8.2	290
Turkey lunch meat	fat free	pre	one	ounce	0.0	29
Coffee	regular	pre	one	sixteen fluid ounce cup	0.0	14
Latte	none	none	one	fourteen fluid ounce cup	0.0	143
Cappuccino	none	none	one	seventeen fluid ounce cup	0.0	160
Tofu	firm	post	a quarter	 of three ounce block 	0.0	57
milk	whole	pre	one	cup	0.0	146
Buttermilk	none	none	one	cup	0.0	98
condensed milk	sweetened	pre	a quarter	cup	142.9	246
Soymilk	regular	pre	one	cup	0.0	98
Plain yogurt	whole milk	post	one	8 oz container	0.0	138
Frozen yogurt	whole milk	post	one	cup	110.6	221
Chocolate milk	made with whole milk	post	one	school carton	48.3	208
cocoa 	instant 	pre	one	packet dry mix with water	65.5	113
Malted milk 	Ovaltine	post	one	cup	22.1	174
Milk shake 	none	none	one	10 ounce	158.4	393
fruit smoothie 	made with milk	post	twenty	fluid ounces 	206.8	496
Chocolate drink	flavored 	pre	nine	fluid ounce bottle	50.8	129
Slim Fast	none	none	one	cup	104.7	174
Light cream	none	none	two	Tablespoons 	0.0	59
Half & Half	none	none	two	Tablespoons 	0.0	39
Whipped cream	sweetened	pre	a quarter	cup	6.7	104
Coffee Mate 	liquid	pre	two	Tablespoons	13.2	41
Coffee Mate Lite 	liquid	pre	two	Tablespoons 	10.6	21
Sour cream	none	none	one	individual container	0.0	64
Ground beef	eighty percent lean	pre	one	ounce after cooking	0.0	75
Beef jerky	none	none	one	piece Slim Jim	3.3	39
Pastrami beef	none	none	one	slice 	0.0	98
pork chop 	grilled	pre	one	medium	0.0	216
Tea	unsweetened	pre	one	cup	0.0	2
Soft drink	diet	pre	one	 16 fluid ounce	0.0	5
Fruit drink 	punch ale or cooler	post	one	cup	97.0	119
Lemonade	none	none	one	cup	93.2	99
Cranberry juice 	cocktail	post	one	cup	118.0	144
Gatorade 	or powerade	post	one	cup	50.0	60
Pedialyte	none	none	one	cup	0.0	25
Beer 	none	none	one	can	0.0	148
Lite beer	none	none	one	can	0.0	101
Cordial 	or liqueur	post	one	cordial glass	18.0	71
Bloody Mary	none	none	eight	fluid ounces (no ice)	0.0	199
Gin & tonic	none	none	eight	fluid ounces (no ice)	61.0	182
Manhattan	none	none	four	fluid ounces (no ice)	0.0	263
Margarita	none	none	four	fluid ounces (no ice)	38.2	270
Martini	none	none	four	fluid ounces (no ice)	0.0	260
Rum & coke	none	none	eight	fluid ounces (no ice)	65.7	182
Pina colada	none	none	eight	fluid ounces (no ice)	146.5	418
Liqueur with cream	none	none	two	fluid ounces	22.7	203
Wine	table	pre	one	standard wine glass	0.0	114
Dessert wine	none	none	one	small wine glass	0.0	165
